slug,variant,model_correct,intermediate_concept,correct_answer,predicted,prompt,n_features_amplified,baseline_predicted,amplified_predicted,flipped_correct,flipped_to_middlehop,baseline_rank,amplified_rank,rank_change,baseline_prob,amplified_prob,prob_gain,baseline_top5,amplified_top5,skipped
istanbul-capital,a2,True,Turkey,Ankara,Ankara,The capital of the country containing Istanbul is,6,Ankara,Ankara,True,False,1,1,0,0.341797,0.386719,0.044922,"Ankara(34.2%), the(12.5%), Turkey(6.7%), (4.6%), Istanbul(4.1%)","Ankara(38.7%), Turkey(23.4%), Istanbul(16.1%), Turkish(4.1%), the(1.9%)",
shanghai-capital,a2,True,China,Beijing,Beijing,The capital of the country containing Shanghai is,10,Beijing,Beijing,True,False,1,1,0,0.349609,0.367188,0.017578,"Beijing(35.0%), (6.9%), the(6.1%), :(3.7%), called(3.2%)","Beijing(36.7%), China(15.3%), Shanghai(9.3%), Nanjing(5.0%), Hangzhou(4.4%)",
osaka-capital,a2,True,Japan,Tokyo,Tokyo,The capital of the country containing Osaka is,11,Tokyo,Tokyo,True,False,1,1,0,0.273438,0.306641,0.033203,"Tokyo(27.3%), Kyoto(14.6%), Osaka(11.4%), (6.1%), the(4.7%)","Tokyo(30.7%), Kyoto(16.4%), Osaka(12.8%), Japan(12.8%), Nagoya(2.8%)",
kyoto-capital,a2,True,Japan,Tokyo,Tokyo,The capital of the country containing Kyoto is,10,Tokyo,Tokyo,True,False,1,1,0,0.253906,0.308594,0.054688,"Tokyo(25.4%), Osaka(10.6%), the(8.3%), (5.7%), Kyoto(4.4%)","Tokyo(30.9%), Japan(16.5%), Osaka(14.6%), Kyoto(10.0%), Japanese(4.7%)",
busan-capital,a2,True,South Korea,Seoul,Seoul,The capital of the country containing Busan is,1,Seoul,Seoul,True,False,1,1,0,0.300781,0.242188,-0.058594,"Seoul(30.1%), (6.7%), Dae(6.7%), the(4.6%), South(3.6%)","Seoul(24.2%), South(14.6%), Dae(6.1%), (6.1%), the(4.2%)",
mumbai-capital,a2,True,India,New Delhi,Delhi,The capital of the country containing Mumbai is,6,Delhi,Delhi,False,False,2,3,1,0.138672,0.074219,-0.064453,"Delhi(20.1%), New(13.9%), the(9.5%), (5.8%), Mumbai(5.8%)","Delhi(29.3%), Mumbai(10.8%), New(7.4%), Maharashtra(6.5%), India(5.1%)",
bangalore-capital,a2,False,India,New Delhi,Karnataka,The capital of the country containing Bangalore is,5,Bengaluru,Bangalore,False,False,16,17,1,0.014038,0.013855,-0.000183,"Bengaluru(11.8%), Karnataka(11.8%), Bangalore(11.8%), the(10.4%), (5.5%)","Bangalore(11.6%), Bengaluru(11.6%), Karnataka(11.6%), the(10.3%), (5.5%)",
karachi-capital,a2,True,Pakistan,Islamabad,Islamabad,The capital of the country containing Karachi is,4,Islamabad,Islamabad,True,False,1,1,0,0.378906,0.429688,0.050781,"Islamabad(37.9%), Pakistan(6.6%), Karachi(6.6%), Lahore(5.1%), the(5.1%)","Islamabad(43.0%), Pakistan(10.9%), Karachi(9.6%), Lahore(6.6%), the(3.1%)",
phuket-capital,a2,True,Thailand,Bangkok,Bangkok,The capital of the country containing Phuket is,5,Bangkok,Bangkok,True,False,1,1,0,0.660156,0.789062,0.128906,"Bangkok(66.0%), the(5.4%), (4.2%), called(1.6%), a(1.4%)","Bangkok(78.9%), Thailand(3.5%), Phuket(2.1%), Chiang(1.9%), bangkok(1.4%)",
ho-chi-minh-capital,a2,True,Vietnam,Hanoi,Hanoi,The capital of the country containing Ho Chi Minh City is,11,Hanoi,Hanoi,True,False,1,1,0,0.443359,0.421875,-0.021484,"Hanoi(44.3%), the(8.7%), Saigon(6.0%), (5.3%), Vietnam(4.1%)","Hanoi(42.2%), Vietnam(22.6%), Saigon(15.5%), Vietnamese(2.7%), Viet(1.6%)",
dubai-capital,a2,True,United Arab Emirates,Abu Dhabi,Abu,The capital of the country containing Dubai is,7,Abu,Abu,False,False,1,1,0,0.474609,0.447266,-0.027344,"Abu(47.5%), the(8.3%), (5.7%), Dubai(4.4%), called(3.9%)","Abu(44.7%), Dubai(18.7%), UAE(16.5%), Sharjah(4.2%), Emir(2.9%)",
alexandria-capital,a2,True,Egypt,Cairo,Cairo,The capital of the country containing Alexandria is,5,Cairo,Cairo,True,False,1,1,0,0.345703,0.355469,0.009766,"Cairo(34.6%), the(8.7%), (5.3%), Alexandria(5.3%), Egypt(3.2%)","Cairo(35.5%), Alexandria(7.9%), the(7.9%), Egypt(5.4%), (4.2%)",
sydney-capital,a2,True,Australia,Canberra,Canberra,The capital of the country containing Sydney is,8,Canberra,Australia,False,True,1,2,1,0.211914,0.213867,0.001953,"Canberra(21.2%), New(11.3%), (8.8%), the(8.8%), called(5.3%)","Australia(24.2%), Canberra(21.4%), Sydney(13.0%), Melbourne(8.9%), Australian(8.9%)",
melbourne-capital,a2,False,Australia,Canberra,the,The capital of the country containing Melbourne is,8,the,Melbourne,False,False,2,2,0,0.115234,0.189453,0.074219,"the(13.1%), (11.5%), Canberra(11.5%), known(7.0%), Melbourne(6.2%)","Melbourne(27.5%), Canberra(18.9%), Australia(11.5%), Victoria(6.9%), the(4.2%)",
