slug,prompt,intermediate_concept,correct_answer,hop_type,notes
a-day-in-the-life-of-lakshmi-manchu-s-feet-s1-11-pl,The short follows Lakshmi Manchu's feet as she goes about her,N/A,daily,next-token prediction,wikipedia article: A Day in the Life of Lakshmi Manchu's Feet | top1_prob: 0.371
social-cognition-and-interaction-training-s0-10-pl,Social cognition and interaction training (SCIT) is a cognitive behavioral,N/A,therapy,next-token prediction,wikipedia article: Social cognition and interaction training | top1_prob: 0.429
a90-motorway-greece-s4-13-pl,A90 follows the route of the old Highway 90 (except for the Gournes-Hersonissos,N/A,section,next-token prediction,wikipedia article: A90 motorway (Greece) | top1_prob: 0.429
dutch-open-tennis-s5-13-pl,The tournament was a Grand Prix in the 1970s and an ATP Tour,N/A,event,next-token prediction,wikipedia article: Dutch Open (tennis) | top1_prob: 0.430
proton-band-s1-11-pl,"Members included Peter 'Buzzy' Miller, Tomas Shore, Jason McGann (John Butler",N/A,trio,next-token prediction,wikipedia article: Proton (band) | top1_prob: 0.370
love-surname-s8-9-pl,"Love (born 1979), American professor of engineering Ida Dorothy",N/A,love,next-token prediction,wikipedia article: Love (surname) | top1_prob: 0.430
legislative-districts-of-bacolod-s1-8-pl,The city is currently represented in the lower,N/A,house,next-token prediction,wikipedia article: Legislative districts of Bacolod | top1_prob: 0.370
ballinroad-s5-15-pl,"Ballinroad Football Club has been part of the community since 1971, with under-age and junior",N/A,teams,next-token prediction,wikipedia article: Ballinroad | top1_prob: 0.430
california-coast-ranges-s36-8-pl,Columbian Black-tailed Deer are the most widespread large,N/A,mammal,next-token prediction,wikipedia article: California Coast Ranges | top1_prob: 0.430
anatoly-petrakovsky-s50-10-pl,"In March 1950, Petrakovsky became head of the Soviet Control",N/A,commission,next-token prediction,wikipedia article: Anatoly Petrakovsky | top1_prob: 0.370
fauna-of-the-amazon-rainforest-s2-15-pl,"The Amazon rainforest covers 6.7 million square kilometre, accounting for over 40% of the planet's",N/A,remaining,next-token prediction,wikipedia article: Fauna of the Amazon rainforest | top1_prob: 0.369
adam-savage-s32-10-pl,Savage has become a regular presenter at magician James Randi's,N/A,annual,next-token prediction,wikipedia article: Adam Savage | top1_prob: 0.369
odela-railway-station-s36-15-pl,"Narendra Puppala of The Hans India wrote that ""Dipping into real-life happenings, the realistic crime",N/A,thriller,next-token prediction,wikipedia article: Odela Railway Station | top1_prob: 0.431
alfred-enderlin-s19-13-pl,Enderlin (I) was a member of the Basel squad that won the Swiss,N/A,cup,next-token prediction,wikipedia article: Alfred Enderlin | top1_prob: 0.368
bride-buying-in-india-s18-9-pl,According to the research sponsored by the Royal Norwegian,N/A,embassy,next-token prediction,wikipedia article: Bride buying in India | top1_prob: 0.368
chini-png-s5-12-pl,Her first solo EP earned her three nominations at the 2021 Pulsar,N/A,awards,next-token prediction,wikipedia article: Chini.png | top1_prob: 0.432
tata-steel-chess-tournament-2011-s1-13-pl,"Known until 2010 as the Corus Chess Tournament, it was renamed after Tata",N/A,steel,next-token prediction,wikipedia article: Tata Steel Chess Tournament 2011 | top1_prob: 0.368
ernesto-palacio-s9-12-pl,"In recent years, he has worked as a vocal coach and artist",N/A,manager,next-token prediction,wikipedia article: Ernesto Palacio | top1_prob: 0.432
2008-in-anime-s5-12-pl,"Internationally, La Maison en Petits Cubes won the Academy Award for Best",N/A,animated,next-token prediction,wikipedia article: 2008 in anime | top1_prob: 0.368
university-of-calabar-s10-10-pl,"Established in 1975, the library has since grown to become",N/A,one,next-token prediction,wikipedia article: University of Calabar | top1_prob: 0.367
spink-county-south-dakota-s23-8-pl,"As of the 2010 census, there were 6,415",N/A,people,next-token prediction,"wikipedia article: Spink County, South Dakota | top1_prob: 0.367"
l-d-ricketts-s25-14-pl,"In this same time period, Ricketts designed another modern copper concentrator for the Detroit",N/A,copper,next-token prediction,wikipedia article: L. D. Ricketts | top1_prob: 0.433
recent-human-evolution-s10-13-pl,While approximately 2% of the human genome codes for proteins and a slightly,N/A,larger,next-token prediction,wikipedia article: Recent human evolution | top1_prob: 0.367
human-evolution-s24-14-pl,Among the genera thought to be in the ape lineage leading up to 13,N/A,million,next-token prediction,wikipedia article: Human evolution | top1_prob: 0.433
architecture-s15-14-pl,Ancient urban architecture was preoccupied with building religious structures and buildings symbolizing the political,N/A,power,next-token prediction,wikipedia article: Architecture | top1_prob: 0.433
chimney-rock-colorado-s2-15-pl,"Route 160, 3.4 miles (5.5 km) northwest of the Chimney Rock pillar in Chimney Rock",N/A,national,next-token prediction,"wikipedia article: Chimney Rock, Colorado | top1_prob: 0.367"
sociology-s12-8-pl,"Conversely, the turn of the 21st century has",N/A,seen,next-token prediction,wikipedia article: Sociology | top1_prob: 0.433
kieran-delahunty-s4-14-pl,Father of Kevin Delahunty Waterford Senior Hurling Championship winner - 1989 and 1990 Munster,N/A,senior,next-token prediction,wikipedia article: Kieran Delahunty | top1_prob: 0.366
swara-bhasker-s19-14-pl,Bhasker then appeared in Srinivas Sunderrajan's black and white thriller The Untitled Kartik Krishnan,N/A,project,next-token prediction,wikipedia article: Swara Bhasker | top1_prob: 0.434
list-of-mountain-ranges-in-kyrgyzstan-s10-12-pl,"These ranges are strongly shaped by erosion, with many ancient, once-flat surfaces",N/A,now,next-token prediction,wikipedia article: List of mountain ranges in Kyrgyzstan | top1_prob: 0.366
deep-space-exploration-s8-8-pl,Some of the best candidates for future deep,N/A,space,next-token prediction,wikipedia article: Deep space exploration | top1_prob: 0.435
1983-84-fa-cup-s23-10-pl,"Plymouth Argyle, from the Third Division, was again the lowest-ranked",N/A,team,next-token prediction,wikipedia article: 1983–84 FA Cup | top1_prob: 0.435
f-lix-machado-s3-8-pl,Machado successfully defended the title three times before,N/A,losing,next-token prediction,wikipedia article: Félix Machado | top1_prob: 0.365
asmatullah-rohani-s12-14-pl,"In 1980, Rohani joined the National Committee for Human Rights, where he documented widespread",N/A,human,next-token prediction,wikipedia article: Asmatullah Rohani | top1_prob: 0.365
italian-renaissance-painting-s4-9-pl,Italian Renaissance painting is most often divided into four,N/A,periods,next-token prediction,wikipedia article: Italian Renaissance painting | top1_prob: 0.365
ancient-rome-s27-10-pl,The Roman poet Virgil recounted this legend in his classical,N/A,epic,next-token prediction,wikipedia article: Ancient Rome | top1_prob: 0.365
2001-uk-championship-s7-12-pl,"Peter Ebdon compiled the highest break, a 143, in his last 32",N/A,match,next-token prediction,wikipedia article: 2001 UK Championship | top1_prob: 0.435
bell-hooks-mixtape-s8-15-pl,"Greg Kot of Chicago Tribune placed it at number 1 on the ""Top Chicago Indie",N/A,albums,next-token prediction,wikipedia article: Bell Hooks (mixtape) | top1_prob: 0.365
arch-of-caracalla-dj-mila-s7-9-pl,"The arch, together with the rest of the archaeological",N/A,site,next-token prediction,wikipedia article: Arch of Caracalla (Djémila) | top1_prob: 0.365
haunted-arrow-s45-8-pl,"On filming the episode, Guggenheim stated it felt",N/A,like,next-token prediction,wikipedia article: Haunted (Arrow) | top1_prob: 0.436
space-exploration-s21-10-pl,"Although the rocket reached space, it did not reach orbital",N/A,velocity,next-token prediction,wikipedia article: Space exploration | top1_prob: 0.436
need-to-feel-your-love-s19-13-pl,Need to Feel Your Love is more varied in mood than previous Sheer,N/A,mag,next-token prediction,wikipedia article: Need to Feel Your Love | top1_prob: 0.364
john-sherburne-sleeper-s4-9-pl,"Hastings Weld, however the partnership lasted only a few",N/A,months,next-token prediction,wikipedia article: John Sherburne Sleeper | top1_prob: 0.436
ryan-johnson-marine-scientist-s13-8-pl,Johnson was part of the first South African,N/A,team,next-token prediction,wikipedia article: Ryan Johnson (marine scientist) | top1_prob: 0.364
2019-amazon-rainforest-wildfires-s20-13-pl,"Without this sink, atmospheric carbon dioxide concentrations would increase and contribute towards higher",N/A,global,next-token prediction,wikipedia article: 2019 Amazon rainforest wildfires | top1_prob: 0.364
edwin-wiley-grove-s46-8-pl,"In 1927, Grove died at the Battery Park",N/A,hotel,next-token prediction,wikipedia article: Edwin Wiley Grove | top1_prob: 0.364
renaissance-s25-15-pl,The Renaissance was a cultural movement that profoundly affected European intellectual life in the early,N/A,modern,next-token prediction,wikipedia article: Renaissance | top1_prob: 0.437
ballinroad-s4-9-pl,"Dungarvan Rugby Club, founded in 1968, the only active",N/A,rugby,next-token prediction,wikipedia article: Ballinroad | top1_prob: 0.363
religion-in-ancient-rome-s25-14-pl,The Roman triumph was at its core a religious procession in which the victorious,N/A,general,next-token prediction,wikipedia article: Religion in ancient Rome | top1_prob: 0.437
2014-volta-a-catalunya-s6-13-pl,Cannondale rider Michel Koch won both sprints classifications; along with the normal intermediate,N/A,sprints,next-token prediction,wikipedia article: 2014 Volta a Catalunya | top1_prob: 0.363
kabaddi-kabaddi-2003-film-s0-9-pl,Kabaddi Kabaddi is a 2003 Indian Telugu-language sports romantic,N/A,comedy,next-token prediction,wikipedia article: Kabaddi Kabaddi (2003 film) | top1_prob: 0.437
language-family-s32-13-pl,"In order to test the hypothesis that two languages are related, the comparative",N/A,method,next-token prediction,wikipedia article: Language family | top1_prob: 0.438
blackfriars-rotunda-s36-13-pl,"In May or June 1830 Richard Carlile took over the Rotunda, and it",N/A,became,next-token prediction,wikipedia article: Blackfriars Rotunda | top1_prob: 0.362
epidermolysis-bullosa-s3-15-pl,Inherited EB is a rare disease with a prevalence in the United States of 8.2,N/A,per,next-token prediction,wikipedia article: Epidermolysis bullosa | top1_prob: 0.362
2021-22-jamshedpur-fc-season-s3-8-pl,As of 1 September 2021 Note: Flags indicate,N/A,national,next-token prediction,wikipedia article: 2021–22 Jamshedpur FC season | top1_prob: 0.438
greenfield-new-hampshire-s3-9-pl,"Originally known as ""Lyndeborough Addition"", the area was first",N/A,settled,next-token prediction,"wikipedia article: Greenfield, New Hampshire | top1_prob: 0.362"
mike-lerner-musician-s11-10-pl,"Warmageddon Later (demo, self-released) 2005: Nano-Nucleonic Cyborg Summoning (EP, Troubleman",N/A,unlimited,next-token prediction,wikipedia article: Mike Lerner (musician) | top1_prob: 0.438
mathematics-s28-8-pl,"Several other first-level areas have ""geometry"" in their",N/A,names,next-token prediction,wikipedia article: Mathematics | top1_prob: 0.439
mitchell-v-forsyth-s25-11-pl,Such entitlement is an immunity from suit rather than a mere,N/A,defense,next-token prediction,wikipedia article: Mitchell v. Forsyth | top1_prob: 0.361
george-frederick-phillips-s2-8-pl,Phillips was born to Andrew and Elizabeth Ross,N/A,phillips,next-token prediction,wikipedia article: George Frederick Phillips | top1_prob: 0.361
george-buckston-s6-13-pl,"Derbyshire won the match by an innings margin, Northamptonshire limited to just 52",N/A,runs,next-token prediction,wikipedia article: George Buckston | top1_prob: 0.361
economic-sociology-s6-15-pl,Contemporary economic sociology may include studies of all modern social aspects of economic phenomena; economic,N/A,sociology,next-token prediction,wikipedia article: Economic sociology | top1_prob: 0.439
elimia-alabamensis-s0-12-pl,"The mud elimia, scientific name Elimia alabamensis, is a species of freshwater",N/A,snail,next-token prediction,wikipedia article: Elimia alabamensis | top1_prob: 0.361
new-zealand-cricket-awards-s5-14-pl,The winners of the awards are selected by a panel of judges which mainly,N/A,consists,next-token prediction,wikipedia article: New Zealand Cricket Awards | top1_prob: 0.361
desert-ecology-s40-11-pl,"For example, research conducted on the surface geology of the Namib",N/A,desert,next-token prediction,wikipedia article: Desert ecology | top1_prob: 0.439
impressionism-s2-8-pl,The Impressionists faced harsh opposition from the conventional,N/A,art,next-token prediction,wikipedia article: Impressionism | top1_prob: 0.439
allies-of-world-war-ii-s27-14-pl,Germany remilitarised the Rhineland in March 1936 in contravention of the Versailles and Locarno,N/A,treaties,next-token prediction,wikipedia article: Allies of World War II | top1_prob: 0.440
economics-s9-8-pl,"The earlier term for the discipline was ""political",N/A,economy,next-token prediction,wikipedia article: Economics | top1_prob: 0.360
relics-einstein-s-brain-s24-10-pl,"Or as Hagner himself puts it, ""Nichts ist absurder als",N/A,die,next-token prediction,wikipedia article: Relics: Einstein's Brain | top1_prob: 0.359
hamza-ali-abbasi-s11-9-pl,Abbasi started his career in 2006 as a theatre,N/A,actor,next-token prediction,wikipedia article: Hamza Ali Abbasi | top1_prob: 0.441
brooke-hanson-s22-14-pl,Their son Jack died in 2012 at nine months of age due to chronic,N/A,lung,next-token prediction,wikipedia article: Brooke Hanson | top1_prob: 0.441
slavery-in-the-ottoman-empire-s11-8-pl,"However, women played and held the most important",N/A,roles,next-token prediction,wikipedia article: Slavery in the Ottoman Empire | top1_prob: 0.442
karl-denson-s4-14-pl,Denson appears in the 1988 movie Coming To America and in the 2021 sequel,N/A,coming,next-token prediction,wikipedia article: Karl Denson | top1_prob: 0.358
monica-evans-s12-9-pl,Monica Evans at IMDb Monica Evans at the Internet,N/A,broadway,next-token prediction,wikipedia article: Monica Evans | top1_prob: 0.442
foul-play-suspected-s2-11-pl,"The novel's protagonist, Detective-Inspector Jordon, also appears in two other 1930s",N/A,novels,next-token prediction,wikipedia article: Foul Play Suspected | top1_prob: 0.358
st-john-s-polytechnic-s6-14-pl,"Berna Alexander in the year 1992 with two branches, ""Electronics and Communication"" and ""Computer",N/A,science,next-token prediction,wikipedia article: St. John's Polytechnic | top1_prob: 0.442
domestic-responses-to-the-egyptian-revolution-of-2011-s12-8-pl,"On 31 January, Mubarak swore in his new",N/A,cabinet,next-token prediction,wikipedia article: Domestic responses to the Egyptian revolution of 2011 | top1_prob: 0.358
level-3-last-chance-to-reason-album-s0-9-pl,Level 3 is the third studio album by progressive,N/A,metal,next-token prediction,wikipedia article: Level 3 (Last Chance to Reason album) | top1_prob: 0.442
olympic-games-s40-15-pl,The origin of the Olympics is shrouded in mystery and legend; one of the most,N/A,popular,next-token prediction,wikipedia article: Olympic Games | top1_prob: 0.358
tr-s-picos-state-park-s14-11-pl,The objectives are to ensure preservation of remnants of the Atlantic,N/A,forest,next-token prediction,wikipedia article: Três Picos State Park | top1_prob: 0.357
athletic-brewing-company-s23-10-pl,"In 2022, Keurig Dr Pepper took a $50 million minority",N/A,stake,next-token prediction,wikipedia article: Athletic Brewing Company | top1_prob: 0.443
barmer-medical-college-s0-8-pl,"Government Medical College, Barmer is a tertiary Medical",N/A,college,next-token prediction,wikipedia article: Barmer Medical College | top1_prob: 0.357
harvaqtuurmiut-s1-9-pl,"Predominantly, their inland existence was along the lower Kazan",N/A,river,next-token prediction,wikipedia article: Harvaqtuurmiut | top1_prob: 0.443
organolead-chemistry-s6-11-pl,The dominance of Pb(IV) in organolead chemistry is remarkable because inorganic,N/A,lead,next-token prediction,wikipedia article: Organolead chemistry | top1_prob: 0.356
loveth-omoruyi-s5-14-pl,"In 2021, Omoruyi became U20 world champion, and the same year she received her",N/A,first,next-token prediction,wikipedia article: Loveth Omoruyi | top1_prob: 0.444
keegan-ritchie-s3-11-pl,In 2014 he moved abroad for the only time in his,N/A,career,next-token prediction,wikipedia article: Keegan Ritchie | top1_prob: 0.445
2002-pan-pacific-swimming-championships-women-s-4-200-metre-freestyle-relay-s5-10-pl,"Prior to this competition, the existing world and Pan Pacific",N/A,records,next-token prediction,wikipedia article: 2002 Pan Pacific Swimming Championships – Women's 4 × 200 metre freestyle relay | top1_prob: 0.355
juan-muguerza-cross-country-s0-15-pl,"The Juan Muguerza Cross-Country, also known as the Elgoibar Cross-Country, is an annual cross country",N/A,running,next-token prediction,wikipedia article: Juan Muguerza Cross-Country | top1_prob: 0.355
plains-of-leon-s0-11-pl,The Plains of Leon are named for the former gold mining,N/A,town,next-token prediction,wikipedia article: Plains of Leon | top1_prob: 0.445
navbakhor-khamidova-s13-10-pl,Khamidova competed in the 65 kg category of the 2025,N/A,world,next-token prediction,wikipedia article: Navbakhor Khamidova | top1_prob: 0.355
james-langley-dalton-s15-10-pl,Dalton's Victoria Cross is displayed at the Royal Logistic Corps,N/A,museum,next-token prediction,wikipedia article: James Langley Dalton | top1_prob: 0.355
biological-anthropology-s3-12-pl,All branches are united in their shared orientation and/or application of evolutionary,N/A,theory,next-token prediction,wikipedia article: Biological anthropology | top1_prob: 0.355
el-tranquilo-group-s1-12-pl,The El Tranquilo Group is found in the Austral Basin of Santa,N/A,cruz,next-token prediction,wikipedia article: El Tranquilo Group | top1_prob: 0.446
social-cognition-and-interaction-training-s0-13-pl,Social cognition and interaction training (SCIT) is a cognitive behavioral therapy to improve,N/A,social,next-token prediction,wikipedia article: Social cognition and interaction training | top1_prob: 0.446
sd-beasain-s2-8-pl,"Founded in 1905 by Quintin Altolagirre, Beasain quickly",N/A,became,next-token prediction,wikipedia article: SD Beasain | top1_prob: 0.446
2012-dubai-tennis-championships-s0-11-pl,The 2012 Dubai Tennis Championships (also known as the 2012 Dubai,N/A,duty,next-token prediction,wikipedia article: 2012 Dubai Tennis Championships | top1_prob: 0.353
computer-science-s12-15-pl,"Within artificial intelligence, computer vision aims to understand and process image and video data, while",N/A,natural,next-token prediction,wikipedia article: Computer science | top1_prob: 0.447
scripps-institution-of-oceanography-s54-14-pl,Scripps would be quintessential for Sverdrup to build datasets supporting simple theories of ocean,N/A,circulation,next-token prediction,wikipedia article: Scripps Institution of Oceanography | top1_prob: 0.353
list-of-egyptian-deities-s1-13-pl,"Many of them ruled over natural and social phenomena, as well as abstract",N/A,concepts,next-token prediction,wikipedia article: List of Egyptian deities | top1_prob: 0.353
orison-s-marden-lawyer-s16-9-pl,"In 1966, he was appointed by the New York",N/A,state,next-token prediction,wikipedia article: Orison S. Marden (lawyer) | top1_prob: 0.353
monique-lagdameo-s20-13-pl,"In July 2022, Lagdameo was named as the President of the Vice Mayors",N/A,league,next-token prediction,wikipedia article: Monique Lagdameo | top1_prob: 0.447
villa-pojana-s8-11-pl,Villa Pojana remains one of the most curious examples of Palladian,N/A,architecture,next-token prediction,wikipedia article: Villa Pojana | top1_prob: 0.447
aftermath-of-world-war-ii-s25-13-pl,"In the spring of 1945, after the final defeat of Germany, the Labour",N/A,party,next-token prediction,wikipedia article: Aftermath of World War II | top1_prob: 0.353
cannabis-in-laos-s7-13-pl,"In the tourist heavy area of Vang Vieng in particular, cannabis is openly",N/A,sold,next-token prediction,wikipedia article: Cannabis in Laos | top1_prob: 0.447
ancient-greek-philosophy-s21-8-pl,"The early Greek philosophers (or ""pre-Socratics"") were primarily",N/A,concerned,next-token prediction,wikipedia article: Ancient Greek philosophy | top1_prob: 0.447
pete-burness-s22-10-pl,"Lenburg, Jeff (2006), Who's who in Animated Cartoons: An International",N/A,guide,next-token prediction,wikipedia article: Pete Burness | top1_prob: 0.448
potter-valley-tribe-s30-13-pl,The Potter Valley Tribe is located at the address of 2251 South State,N/A,street,next-token prediction,wikipedia article: Potter Valley Tribe | top1_prob: 0.352
enis-destan-s6-8-pl,"Following his release from Trabzonspor, Destan joined EFL",N/A,championship,next-token prediction,wikipedia article: Enis Destan | top1_prob: 0.448
1990s-in-sociology-s34-8-pl,Shmuel Noah Eisenstadt's Jewish civilization: the Jewish historical,N/A,experience,next-token prediction,wikipedia article: 1990s in sociology | top1_prob: 0.352
cannabis-in-laos-s9-13-pl,"Because of Vang Vieng's openness towards cannabis, psychedelic mushrooms, and opium, it has",N/A,become,next-token prediction,wikipedia article: Cannabis in Laos | top1_prob: 0.352
ivan-dal-santo-s2-14-pl,"A left-back, Dal Santo played 293 games in Swiss Super League and over 190",N/A,games,next-token prediction,wikipedia article: Ivan Dal Santo | top1_prob: 0.351
saint-martin-xiii-s9-8-pl,In season 2015/16 the club enjoyed their best,N/A,ever,next-token prediction,wikipedia article: Saint-Martin XIII | top1_prob: 0.351
brett-montgomery-s0-10-pl,Brett Montgomery (born 1 June 1973) is a retired Australian,N/A,rules,next-token prediction,wikipedia article: Brett Montgomery | top1_prob: 0.351
kota-ranger-fc-s21-10-pl,The club was leading 1st place in the 2020 Super,N/A,league,next-token prediction,wikipedia article: Kota Ranger FC | top1_prob: 0.449
physics-wallah-s21-8-pl,"In March 2023, several teachers at the ed-tech",N/A,company,next-token prediction,wikipedia article: Physics Wallah | top1_prob: 0.449
deforestation-of-the-amazon-rainforest-s34-13-pl,Challenges arose in parts of the Amazon where poor soil conditions made plantation-based,N/A,agriculture,next-token prediction,wikipedia article: Deforestation of the Amazon rainforest | top1_prob: 0.351
world-luxury-day-s3-14-pl,The World Luxury Chamber of Commerce (WLCC) is a global network that connects luxury,N/A,brands,next-token prediction,wikipedia article: World Luxury Day | top1_prob: 0.351
tr-pail-s12-9-pl,Communes of the Marne department Montagne de Reims Regional,N/A,natural,next-token prediction,wikipedia article: Trépail | top1_prob: 0.449
age-of-discovery-s33-15-pl,"Many indigenous peoples have fundamentally challenged the concept of colonial claiming of ""discovery"" over their",N/A,lands,next-token prediction,wikipedia article: Age of Discovery | top1_prob: 0.351
ancient-greece-s11-9-pl,Classical antiquity in Greece was preceded by the Greek,N/A,dark,next-token prediction,wikipedia article: Ancient Greece | top1_prob: 0.350
sir-james-whitney-school-for-the-deaf-s0-11-pl,The Sir James Whitney School for the Deaf is a provincial,N/A,school,next-token prediction,wikipedia article: Sir James Whitney School for the Deaf | top1_prob: 0.350
relics-einstein-s-brain-s8-14-pl,One lead sends Sugimoto to the Albert Einstein College of Medicine in New York,N/A,city,next-token prediction,wikipedia article: Relics: Einstein's Brain | top1_prob: 0.350
lachlan-macleay-s4-9-pl,"In 1970, he earned a Master of Business Administration",N/A,degree,next-token prediction,wikipedia article: Lachlan Macleay | top1_prob: 0.350
psychology-s20-13-pl,"Yet others are involved in work on human development, aging, sports, health, forensic",N/A,science,next-token prediction,wikipedia article: Psychology | top1_prob: 0.350
douglas-mccrory-s22-13-pl,Another special election will be called by Governor Malloy to fill his now,N/A,vacant,next-token prediction,wikipedia article: Douglas McCrory | top1_prob: 0.350
kamal-khan-zadran-s3-13-pl,Kamal Khan Zadran was appointed Governor of Khowst Province for the first seven,N/A,months,next-token prediction,wikipedia article: Kamal Khan Zadran | top1_prob: 0.451
2021-22-jamshedpur-fc-season-s3-9-pl,As of 1 September 2021 Note: Flags indicate national,N/A,team,next-token prediction,wikipedia article: 2021–22 Jamshedpur FC season | top1_prob: 0.349
presidential-commission-of-uganda-s10-11-pl,"However, the election was marred by allegations of fraud, including ballot",N/A,stuffing,next-token prediction,wikipedia article: Presidential Commission of Uganda | top1_prob: 0.451
bay-ridge-united-methodist-church-s0-9-pl,"Bay Ridge United Methodist Church, originally known as Grace",N/A,methodist,next-token prediction,wikipedia article: Bay Ridge United Methodist Church | top1_prob: 0.349
torres-del-obispo-s0-14-pl,"Torres del Obispo is a hamlet located in the municipality of Graus, in Huesca",N/A,province,next-token prediction,wikipedia article: Torres del Obispo | top1_prob: 0.349
early-middle-ages-s23-12-pl,The discipline and organization of a Roman legion made it a superb,N/A,fighting,next-token prediction,wikipedia article: Early Middle Ages | top1_prob: 0.451
california-coast-ranges-s41-10-pl,"The San Joaquin Valley is on the east, and Pacific",N/A,ocean,next-token prediction,wikipedia article: California Coast Ranges | top1_prob: 0.349
paul-bongiorno-s8-11-pl,"In November 2010, he was appointed national affairs editor for Ten",N/A,news,next-token prediction,wikipedia article: Paul Bongiorno | top1_prob: 0.451
kjmj-s16-8-pl,"In the 1970s, the station aired a MOR",N/A,format,next-token prediction,wikipedia article: KJMJ | top1_prob: 0.349
physics-s30-14-pl,"His laws of motion included: that heavier objects will fall faster, the speed being",N/A,proportional,next-token prediction,wikipedia article: Physics | top1_prob: 0.452
2019-20-toronto-raptors-season-s3-14-pl,The Raptors lost 2019 NBA Finals MVP Kawhi Leonard in the offseason as he,N/A,signed,next-token prediction,wikipedia article: 2019–20 Toronto Raptors season | top1_prob: 0.348
list-of-schools-in-gastonia-north-carolina-s2-15-pl,"Cramer High School, Belmont Belmont Middle School, Belmont Bessemer City Middle School, Bessemer City Cramerton",N/A,middle,next-token prediction,"wikipedia article: List of schools in Gastonia, North Carolina | top1_prob: 0.348"
if-i-could-fall-in-love-s5-8-pl,"The actors of the film Blue Crush, including",N/A,kate,next-token prediction,wikipedia article: If I Could Fall in Love | top1_prob: 0.452
hans-peter-feldmann-s24-15-pl,"In 2008, at the International Center of Photography, he exhibited framed front pages of 100",N/A,newspapers,next-token prediction,wikipedia article: Hans-Peter Feldmann | top1_prob: 0.348
yuri-avvakumov-s14-15-pl,"According to Snob magazine, which refers to Avvakumov as ""one of the most renowned contemporary",N/A,russian,next-token prediction,wikipedia article: Yuri Avvakumov | top1_prob: 0.347
rutger-beke-s10-14-pl,"In 2007, he was the 5th Belgian who won an Ironman, together with Luc",N/A,van,next-token prediction,wikipedia article: Rutger Beke | top1_prob: 0.453
desert-s0-12-pl,"A desert is a landscape where little precipitation occurs and, consequently, living",N/A,conditions,next-token prediction,wikipedia article: Desert | top1_prob: 0.347
world-war-i-s36-10-pl,"In 1887, Bismarck set up the Reinsurance Treaty, a secret",N/A,agreement,next-token prediction,wikipedia article: World War I | top1_prob: 0.453
oskuya-s8-13-pl,The river basin of the Oskuya comprises areas in the west of Lyubytinsky,N/A,district,next-token prediction,wikipedia article: Oskuya | top1_prob: 0.347
2019-20-toronto-raptors-season-s7-9-pl,"On March 5, 2020, the Raptors became the second",N/A,team,next-token prediction,wikipedia article: 2019–20 Toronto Raptors season | top1_prob: 0.453
lepina-beetle-s3-11-pl,The name of the genus is derived from the ancient Greek,N/A,word,next-token prediction,wikipedia article: Lepina (beetle) | top1_prob: 0.347
renaissance-art-s1-10-pl,Renaissance art took as its foundation the art of Classical,N/A,antiquity,next-token prediction,wikipedia article: Renaissance art | top1_prob: 0.453
skepticality-s21-12-pl,Susan Gerbic of Guerrilla Skepticism on Wikipedia (GSoW) has also made regular,N/A,appearances,next-token prediction,wikipedia article: Skepticality | top1_prob: 0.347
climate-change-s15-11-pl,The World Health Organization calls climate change one of the biggest,N/A,threats,next-token prediction,wikipedia article: Climate change | top1_prob: 0.347
venard-poslusney-s12-13-pl,"In 1944 he went to Chicago, Illinois, where he taught at Mount Carmel",N/A,high,next-token prediction,wikipedia article: Venard Poslusney | top1_prob: 0.346
political-philosophy-s22-13-pl,Political philosophy is the branch of philosophy that studies the theoretical and conceptual,N/A,foundations,next-token prediction,wikipedia article: Political philosophy | top1_prob: 0.346
george-frederick-phillips-s4-9-pl,Phillips later worked on liners for the Mallory Steamship,N/A,company,next-token prediction,wikipedia article: George Frederick Phillips | top1_prob: 0.454
literature-s31-13-pl,"According to Goody, the Vedic texts likely involved both a written and oral",N/A,tradition,next-token prediction,wikipedia article: Literature | top1_prob: 0.454
tale-of-two-brothers-s41-9-pl,"When Merneptah died, Seti II was undoubtedly the rightful",N/A,heir,next-token prediction,wikipedia article: Tale of Two Brothers | top1_prob: 0.454
nook-farm-connecticut-s11-10-pl,The John and Isabella Hooker House is now an apartment,N/A,building,next-token prediction,wikipedia article: Nook Farm (Connecticut) | top1_prob: 0.454
aziaha-james-s7-11-pl,"Rated a four-star recruit by ESPN, she committed to play college",N/A,basketball,next-token prediction,wikipedia article: Aziaha James | top1_prob: 0.455
canmore-leader-s4-12-pl,Pique Newsmagazine Similkameen News Leader Banff Crag & Canyon Canmore Leader Canmore,N/A,leader,next-token prediction,wikipedia article: Canmore Leader | top1_prob: 0.345
bride-buying-in-india-s32-10-pl,The Constitution of India prohibits all forms of trafficking under,N/A,article,next-token prediction,wikipedia article: Bride buying in India | top1_prob: 0.455
my-body-is-a-cage-s5-8-pl,In Ballroom Dance class Adam (Jordan Todosey) finds,N/A,himself,next-token prediction,wikipedia article: My Body Is a Cage | top1_prob: 0.455
ruth-rhoads-lepper-gardner-s20-11-pl,Distinguished Achievement Award (2004) from the University of Southern Maine Boothbay,N/A,region,next-token prediction,wikipedia article: Ruth Rhoads Lepper Gardner | top1_prob: 0.345
newbridge-lodge-s7-8-pl,"The lodge is of two storeys, the lower",N/A,floor,next-token prediction,wikipedia article: Newbridge Lodge | top1_prob: 0.345
